fecha,ventasUnidades,visitasWeb,impresionesAds,descuentoPorc,diaSemana,esFinSemana,esCampania,impresionesContratadas
2022-01-01,197,19,59,15,5,1,0,70
2022-01-02,182,17,56,10,6,1,0,64
2022-01-03,157,14,45,10,0,0,0,54
2022-01-04,176,19,56,10,1,0,0,68
2022-01-05,153,13,44,10,2,0,0,48
2022-01-06,153,13,39,10,3,0,0,43
2022-01-07,145,12,38,10,4,0,0,45
2022-01-08,161,16,49,5,5,1,0,57
2022-01-09,174,17,52,10,6,1,0,61
2022-01-10,154,16,48,10,0,0,0,55
2022-01-11,145,14,45,10,1,0,0,55
2022-01-12,137,11,32,10,2,0,0,39
2022-01-13,153,15,44,10,3,0,0,52
2022-01-14,159,16,48,10,4,0,0,59
2022-01-15,176,16,49,10,5,1,0,59
2022-01-16,178,16,45,10,6,1,0,51
2022-01-17,162,15,48,10,0,0,0,57
2022-01-18,170,17,51,10,1,0,0,58
2022-01-19,163,14,45,10,2,0,0,55
2022-01-20,148,11,37,10,3,0,0,43
2022-01-21,155,13,41,10,4,0,0,48
2022-01-22,181,16,51,10,5,1,0,59
2022-01-23,170,12,36,10,6,1,0,45
2022-01-24,179,16,48,15,0,0,0,56
2022-01-25,158,13,36,10,1,0,0,41
2022-01-26,167,15,46,10,2,0,0,53
2022-01-27,163,14,42,10,3,0,0,50
2022-01-28,147,13,35,5,4,0,0,42
2022-01-29,193,19,59,10,5,1,0,70
2022-01-30,179,15,49,10,6,1,0,59
2022-01-31,158,13,41,10,0,0,0,53
2022-02-01,161,15,49,10,1,0,0,57
2022-02-02,158,16,49,10,2,0,0,57
2022-02-03,153,14,41,10,3,0,0,47
2022-02-04,141,12,37,5,4,0,0,45
2022-02-05,179,18,55,10,5,1,0,67
2022-02-06,175,17,50,10,6,1,0,59
2022-02-07,166,18,58,10,0,0,0,67
2022-02-08,163,14,44,15,1,0,0,50
2022-02-09,157,15,45,10,2,0,0,54
2022-02-10,150,13,41,10,3,0,0,50
2022-02-11,141,11,34,10,4,0,0,41
2022-02-12,175,16,51,10,5,1,0,59
2022-02-13,185,18,59,10,6,1,0,70
2022-02-14,142,12,36,5,0,0,0,43
2022-02-15,140,13,38,5,1,0,0,45
2022-02-16,150,12,40,10,2,0,0,49
2022-02-17,177,17,57,15,3,0,0,68
2022-02-18,155,13,39,10,4,0,0,47
2022-02-19,187,17,51,10,5,1,0,60
2022-02-20,189,14,41,15,6,1,0,49
2022-02-21,165,14,43,10,0,0,0,52
2022-02-22,164,13,40,10,1,0,0,44
2022-02-23,155,10,30,10,2,0,0,35
2022-02-24,166,14,45,10,3,0,0,52
2022-02-25,170,15,45,10,4,0,0,52
2022-02-26,169,12,36,10,5,1,0,42
2022-02-27,179,16,47,10,6,1,0,58
2022-02-28,155,13,43,10,0,0,0,49
2022-03-01,155,12,39,10,1,0,0,48
2022-03-02,159,14,46,10,2,0,0,51
2022-03-03,139,10,29,5,3,0,0,33
2022-03-04,166,15,49,10,4,0,0,58
2022-03-05,207,19,59,15,5,1,0,71
2022-03-06,179,14,45,10,6,1,0,54
2022-03-07,172,14,45,10,0,0,0,55
2022-03-08,183,17,52,10,1,0,0,60
2022-03-09,175,15,46,10,2,0,0,53
2022-03-10,168,13,37,10,3,0,0,45
2022-03-11,159,12,36,10,4,0,0,42
2022-03-12,191,17,52,10,5,1,0,59
2022-03-13,186,16,47,10,6,1,0,53
2022-03-14,173,16,50,10,0,0,0,57
2022-03-15,155,11,37,10,1,0,0,45
2022-03-16,165,16,49,10,2,0,0,58
2022-03-17,149,13,38,10,3,0,0,46
2022-03-18,158,16,48,10,4,0,0,56
2022-03-19,166,15,47,10,5,1,0,56
2022-03-20,165,14,47,10,6,1,0,57
2022-03-21,136,13,41,5,0,0,0,48
2022-03-22,143,12,37,10,1,0,0,44
2022-03-23,150,14,41,10,2,0,0,47
2022-03-24,161,16,50,10,3,0,0,58
2022-03-25,162,16,51,10,4,0,0,59
2022-03-26,180,17,52,10,5,1,0,59
2022-03-27,171,15,46,10,6,1,0,55
2022-03-28,151,13,39,10,0,0,0,45
2022-03-29,163,16,51,10,1,0,0,60
2022-03-30,166,17,55,10,2,0,0,66
2022-03-31,158,14,44,10,3,0,0,53
2022-04-01,155,14,44,10,4,0,0,53
2022-04-02,172,15,47,10,5,1,0,55
2022-04-03,180,17,51,10,6,1,0,59
2022-04-04,162,16,48,10,0,0,0,56
2022-04-05,142,9,27,10,1,0,0,28
2022-04-06,163,15,47,10,2,0,0,52
2022-04-07,165,13,40,15,3,0,0,44
2022-04-08,143,10,33,10,4,0,0,37
2022-04-09,181,17,54,10,5,1,0,64
2022-04-10,175,16,53,10,6,1,0,61
2022-04-11,157,15,48,10,0,0,0,56
2022-04-12,145,12,37,10,1,0,0,46
2022-04-13,171,19,59,10,2,0,0,69
2022-04-14,158,15,43,10,3,0,0,52
2022-04-15,155,14,47,10,4,0,0,53
2022-04-16,188,19,58,10,5,1,0,68
2022-04-17,179,18,55,10,6,1,0,63
2022-04-18,159,16,53,10,0,0,0,62
2022-04-19,172,17,51,15,1,0,0,62
2022-04-20,140,10,30,10,2,0,0,32
2022-04-21,169,18,56,10,3,0,0,67
2022-04-22,157,14,42,10,4,0,0,50
2022-04-23,184,17,53,10,5,1,0,61
2022-04-24,183,18,56,10,6,1,0,63
2022-04-25,150,13,42,10,0,0,0,50
2022-04-26,160,15,46,10,1,0,0,53
2022-04-27,167,16,51,10,2,0,0,60
2022-04-28,158,14,43,10,3,0,0,51
2022-04-29,164,15,48,10,4,0,0,60
2022-04-30,234,17,55,35,5,1,1,64
2022-05-01,225,18,52,30,6,1,1,59
2022-05-02,202,16,49,30,0,0,1,58
2022-05-03,223,19,59,35,1,0,1,70
2022-05-04,237,26,77,30,2,0,1,93
2022-05-05,218,19,53,30,3,0,1,64
2022-05-06,225,18,56,35,4,0,1,67
2022-05-07,248,20,61,35,5,1,1,75
2022-05-08,253,22,70,35,6,1,1,80
2022-05-09,229,20,62,35,0,0,1,72
2022-05-10,204,16,50,30,1,0,1,57
2022-05-11,173,17,52,10,2,0,0,60
2022-05-12,167,14,44,10,3,0,0,49
2022-05-13,171,16,48,10,4,0,0,58
2022-05-14,174,13,39,10,5,1,0,45
2022-05-15,168,13,42,10,6,1,0,46
2022-05-16,158,16,49,5,0,0,0,56
2022-05-17,147,11,35,10,1,0,0,42
2022-05-18,163,15,46,10,2,0,0,56
2022-05-19,157,15,46,5,3,0,0,58
2022-05-20,163,15,45,10,4,0,0,59
2022-05-21,181,17,54,10,5,1,0,64
2022-05-22,183,17,51,10,6,1,0,58
2022-05-23,166,15,47,10,0,0,0,51
2022-05-24,161,14,40,10,1,0,0,48
2022-05-25,162,15,47,10,2,0,0,54
2022-05-26,180,20,63,10,3,0,0,73
2022-05-27,172,17,51,10,4,0,0,59
2022-05-28,187,18,53,10,5,1,0,62
2022-05-29,182,17,52,10,6,1,0,63
2022-05-30,157,13,40,10,0,0,0,47
2022-05-31,164,15,45,10,1,0,0,53
2022-06-01,149,14,42,5,2,0,0,47
2022-06-02,169,17,54,10,3,0,0,60
2022-06-03,156,13,40,10,4,0,0,46
2022-06-04,169,12,36,10,5,1,0,42
2022-06-05,190,15,48,15,6,1,0,60
2022-06-06,169,16,50,10,0,0,0,59
2022-06-07,179,20,61,10,1,0,0,74
2022-06-08,170,17,54,10,2,0,0,63
2022-06-09,157,13,40,10,3,0,0,45
2022-06-10,161,14,45,10,4,0,0,51
2022-06-11,178,15,45,10,5,1,0,51
2022-06-12,192,16,50,15,6,1,0,63
2022-06-13,160,13,43,10,0,0,0,49
2022-06-14,152,11,35,10,1,0,0,43
